k,x,y
2,803,813
3,796,645
4,631,357
5,538,416
6,439,52
7,363,451
8,35,161
9,624,149
10,312,287
11,98,647
12,728,199
13,571,669
14,149,285
15,280,1
16,417,592
17,538,382
18,648,10
19,701,219
20,774,461
21,687,400
22,143,640
23,491,201
24,313,607
25,809,626
26,322,513
27,325,463
28,274,387
29,208,477
30,560,356
31,733,782
32,339,687
33,294,420
34,547,179
35,51,338
36,459,584
37,70,594
38,698,78
39,21,260
40,152,708
41,499,239
42,92,280
43,344,558
44,440,424
45,613,169
46,344,428
47,716,805
48,134,540
49,734,71
50,765,276
51,165,319
52,92,339
53,177,809
54,561,559
55,335,796
56,513,822
57,339,296
58,674,236
59,155,19
60,625,270
61,643,618
62,576,126
63,428,354
64,573,593
65,260,15
66,605,503
67,661,250
68,208,379
69,362,412
70,191,512
71,520,388
72,391,461
73,723,502
74,648,686
75,728,313
76,557,727
77,582,451
78,636,609
79,352,120
80,74,822
81,436,127
82,545,531
83,660,766
84,530,545
85,538,425
86,130,236
87,799,771
88,808,203
89,89,424
90,805,124
91,617,40
92,656,88
93,62,743
94,748,642
95,294,554
96,162,349
97,688,212
98,623,231
99,154,659
100,64,297
101,628,612
102,120,624
103,655,595
104,108,532
105,227,187
106,713,463
107,255,118
108,434,422
109,727,798
110,124,419
111,546,81
112,629,47
113,299,508
114,564,185
115,280,447
116,10,61
117,107,85
118,227,459
119,241,104
120,483,716
121,147,65
122,51,50
123,660,435
124,308,284
125,93,140
126,575,100
127,770,13
128,671,532
129,502,687
130,704,720
131,505,738
132,667,3
133,370,659
134,800,776
135,658,199
136,756,422
137,600,10
138,561,111
139,254,187
140,722,619
141,393,803
142,80,784
143,295,193
144,82,523
145,361,39
146,665,171
147,314,716
148,376,345
149,437,691
150,706,452
151,206,784
152,20,324
153,463,805
154,375,324
155,410,329
156,383,430
157,764,20
158,556,178
159,317,356
160,622,520
161,468,818
162,169,593
163,138,484
164,598,362
165,83,421
166,11,632
167,696,631
168,121,771
169,589,696
170,288,623
171,772,64
172,94,408
173,36,523
174,152,446
175,56,24
176,62,344
177,613,317
178,587,260
179,409,228
180,621,586
181,288,745
