x,y
3,129
3,698
4,173
4,654
5,408
5,419
7,321
7,506
8,352
8,475
9,65
9,762
11,177
11,650
13,389
13,438
16,44
16,783
18,148
18,679
19,131
19,696
20,323
20,504
21,335
21,492
22,243
22,584
25,258
25,569
29,180
29,647
30,171
30,656
31,25
31,802
33,373
33,454
37,273
37,554
39,369
39,458
41,407
41,420
46,146
46,681
50,406
50,421
51,124
51,703
52,14
52,813
55,313
55,514
58,349
58,478
61,199
61,628
66,12
66,815
70,298
70,529
71,371
71,456
79,91
79,736
81,183
81,644
82,98
82,729
83,337
83,490
85,36
85,791
86,65
86,762
87,409
87,418
91,204
91,623
93,235
93,592
96,141
96,686
97,107
97,720
99,151
99,676
100,326
100,501
103,335
103,492
105,314
105,513
106,396
106,431
107,252
107,575
109,272
109,555
110,195
110,632
113,60
113,767
115,379
115,448
117,139
117,688
119,342
119,485
120,411
120,416
121,311
121,516
122,284
122,543
124,202
124,625
125,68
125,759
128,205
128,622
129,80
129,747
130,347
130,480
131,253
131,574
133,377
133,450
134,169
134,658
136,392
136,435
144,376
144,451
146,370
146,457
148,139
148,688
149,142
149,685
151,47
151,780
152,160
152,667
154,39
154,788
160,370
160,457
163,272
163,555
164,362
164,465
167,181
167,646
169,342
169,485
170,353
170,474
171,323
171,504
174,7
174,820
177,337
177,490
182,199
182,628
187,309
187,518
189,57
189,770
193,133
193,694
194,14
194,813
196,31
196,796
198,146
198,681
202,327
202,500
203,144
203,683
206,72
206,755
207,195
207,632
210,87
210,740
212,150
212,677
213,135
213,692
220,284
220,543
221,70
221,757
222,70
222,757
223,169
223,658
226,108
226,719
227,295
227,532
230,294
230,533
231,409
231,418
232,312
232,515
233,352
233,475
236,161
236,666
237,410
237,417
240,383
240,444
242,392
242,435
245,11
245,816
246,271
246,556
248,35
248,792
252,305
252,522
253,252
253,575
254,197
254,630
256,260
256,567
258,76
258,751
259,402
259,425
260,114
260,713
262,244
262,583
263,389
263,438
266,402
266,425
269,364
269,463
270,312
270,515
272,102
272,725
273,351
273,476
274,236
274,591
275,308
275,519
281,5
281,822
282,317
282,510
283,388
283,439
287,316
287,511
288,174
288,653
290,181
290,646
296,78
296,749
298,322
298,505
299,74
299,753
302,402
302,425
305,390
305,437
306,127
306,700
307,227
307,600
308,44
308,783
313,112
313,715
321,368
321,459
323,6
323,821
324,140
324,687
325,312
325,515
329,355
329,472
330,411
330,416
332,158
332,669
333,343
333,484
338,91
338,736
340,203
340,624
341,371
341,456
342,336
342,491
344,10
344,817
346,134
346,693
347,52
347,775
349,296
349,531
352,307
352,520
353,85
353,742
354,132
354,695
359,243
359,584
360,412
360,415
364,268
364,559
366,313
366,514
369,406
369,421
370,181
370,646
372,66
372,761
373,263
373,564
377,411
377,416
378,385
378,442
380,216
380,611
381,23
381,804
382,255
382,572
384,70
384,757
386,109
386,718
387,187
387,640
390,95
390,732
395,208
395,619
398,408
398,419
399,214
399,613
402,375
402,452
406,313
406,514
408,406
408,421
410,91
410,736
412,380
412,447
413,329
413,498
415,371
415,456
417,138
417,689
418,404
418,423
419,167
419,660
420,163
420,664
421,89
421,738
422,232
422,595
424,408
424,419
426,90
426,737
427,330
427,497
431,318
431,509
432,143
432,684
433,16
433,811
435,286
435,541
436,324
436,503
437,168
437,659
439,175
439,652
440,69
440,758
442,56
442,771
446,243
446,584
448,100
448,727
449,392
449,435
451,50
451,777
453,210
453,617
455,378
455,449
457,156
457,671
458,167
458,660
461,89
461,738
462,59
462,768
466,210
466,617
467,252
467,575
468,23
468,804
470,169
470,658
476,123
476,704
477,307
477,520
479,24
479,803
480,247
480,580
482,214
482,613
483,165
483,662
485,284
485,543
486,380
486,447
488,17
488,810
489,138
489,689
494,274
494,553
500,32
500,795
502,363
502,464
503,44
503,783
504,122
504,705
507,324
507,503
509,409
509,418
510,195
510,632
511,185
511,642
517,345
517,482
519,140
519,687
521,370
521,457
522,119
522,708
525,110
525,717
530,368
530,459
531,94
531,733
533,276
533,551
534,74
534,753
536,15
536,812
537,156
537,671
539,342
539,485
541,104
541,723
542,48
542,779
544,2
544,825
545,354
545,473
546,3
546,824
547,196
547,631
548,391
548,436
549,356
549,471
551,389
551,438
552,372
552,455
554,58
554,769
555,272
555,555
557,363
557,464
558,103
558,724
559,261
559,566
561,110
561,717
562,139
562,688
565,155
565,672
567,337
567,490
568,110
568,717
572,223
572,604
573,259
573,568
574,412
574,415
576,175
576,652
578,54
578,773
580,90
580,737
581,14
581,813
582,215
582,612
583,146
583,681
584,199
584,628
585,385
585,442
586,352
586,475
592,286
592,541
593,229
593,598
595,363
595,464
597,231
597,596
600,128
600,699
601,152
601,675
602,145
602,682
607,336
607,491
608,206
608,621
609,220
609,607
611,234
611,593
613,255
613,572
614,262
614,565
615,211
615,616
616,163
616,664
618,163
618,664
619,268
619,559
621,172
621,655
625,179
625,648
627,286
627,541
628,227
628,600
633,271
633,556
634,190
634,637
635,387
635,440
636,323
636,504
638,191
638,636
639,175
639,652
640,106
640,721
644,178
644,649
648,90
648,737
650,114
650,713
651,316
651,511
652,269
652,558
653,315
653,512
654,310
654,517
655,77
655,750
657,136
657,691
658,174
658,653
659,255
659,572
660,156
660,671
661,303
661,524
662,34
662,793
664,102
664,725
666,41
666,786
667,127
667,700
668,207
668,620
670,366
670,461
671,268
671,559
673,267
673,560
675,333
675,494
676,248
676,579
677,46
677,781
681,127
681,700
683,344
683,483
685,61
685,766
689,254
689,573
691,385
691,442
692,228
692,599
694,251
694,576
697,73
697,754
698,384
698,443
702,382
702,445
703,335
703,492
704,182
704,645
705,336
705,491
708,174
708,653
711,324
711,503
713,81
713,746
716,316
716,511
718,102
718,725
719,227
719,600
720,412
720,415
723,362
723,465
724,202
724,625
727,21
727,806
728,400
728,427
729,379
729,448
730,126
730,701
731,1
731,826
732,65
732,762
733,381
733,446
735,210
735,617
743,253
743,574
744,114
744,713
745,67
745,760
746,79
746,748
747,8
747,819
748,138
748,689
749,198
749,629
750,285
750,542
754,28
754,799
756,380
756,447
759,413
759,414
760,75
760,752
765,120
765,707
767,362
767,465
769,226
769,601
770,235
770,592
771,298
771,529
772,89
772,738
773,214
773,613
774,340
774,487
775,271
775,556
776,45
776,782
777,167
777,660
780,253
780,574
782,63
782,764
784,125
784,702
788,53
788,774
791,235
791,592
794,293
794,534
799,186
799,641
800,287
800,540
802,117
802,710
803,368
803,459
804,277
804,550
805,23
805,804
806,202
806,625
810,379
810,448
811,140
811,687
813,298
813,529
815,37
815,790
817,245
817,582
820,275
820,552
821,74
821,753
823,99
823,728
824,237
824,590
825,307
825,520
