x,y
3,24
3,103
6,41
6,86
9,58
9,69
10,56
10,71
11,38
11,89
12,31
12,96
13,13
13,114
17,0
23,14
23,113
24,46
24,81
26,60
26,67
27,1
27,126
28,45
28,82
29,36
29,91
32,47
32,80
34,0
36,2
36,125
37,33
37,94
39,11
39,116
43,5
43,122
45,55
45,72
47,45
47,82
49,11
49,116
50,49
50,78
52,45
52,82
53,4
53,123
54,22
54,105
58,24
58,103
60,20
60,107
61,50
61,77
62,34
62,93
64,15
64,112
65,53
65,74
66,24
66,103
67,3
67,124
68,15
68,112
69,50
69,77
72,28
72,99
73,59
73,68
75,17
75,110
76,0
78,62
78,65
79,49
79,78
80,17
80,110
83,63
83,64
88,62
88,65
90,35
90,92
92,2
92,125
97,7
97,120
98,16
98,111
99,17
99,110
103,43
103,84
112,21
112,106
114,42
114,85
122,15
122,112
123,26
123,101
124,50
124,77
125,49
125,78
